E,DOS
-8.217944999943676,1727294903988.3596
-8.213834999943703,715426055995.1787
-8.209724999943733,549207791996.2988
-8.20561499994376,463065479996.8794
-8.201504999943788,408063815997.25006
-8.197394999943816,369239111997.51166
-8.193284999943845,339311735997.7134
-8.189174999943873,315855143997.87146
-8.1850649999439,296847215997.9995
-8.180954999943928,280670255998.1085
-8.176844999943958,267324263998.1985
-8.172734999943986,255191543998.28024
-8.168624999944013,244676519998.3511
-8.164514999944041,235779191998.41107
-8.16040499994407,227286287998.4683
-8.156294999944098,220006655998.51736
-8.152184999944126,213535871998.56097
-8.148074999944155,207065087998.60458
-8.143964999944183,201403151998.64273
-8.13985499994421,196550063998.67545
-8.135744999944238,191292551998.71088
-8.131634999944268,186843887998.74084
-8.127524999944296,182799647998.7681
-8.123414999944323,179159831998.79263
-8.119304999944351,175115591998.8199
-8.11519499994438,171880199998.84167
-8.111084999944408,168644807998.8635
-8.106974999944436,165409415998.88528
-8.102864999944464,162982871998.90164
-8.098754999944493,159747479998.92346
-8.09464499994452,157320935998.93982
-8.090534999944548,154894391998.95615
-8.086424999944578,152467847998.9725
-8.082314999944606,150041303998.98886
-8.078204999944633,148019183999.0025
-8.074094999944661,145997063999.0161
-8.06998499994469,143570519999.03247
-8.065874999944718,142357247999.04065
-8.061764999944746,139930703999.057
-8.057654999944774,138717431999.0652
-8.053544999944803,136695311999.0788
-8.04943499994483,135077615999.0897
-8.045324999944858,133459919999.1006
-8.041214999944886,131842223999.11151
-8.037104999944916,130628951999.11969
-8.032994999944943,129415679999.12785
-8.028884999944971,127797983999.13876
-8.024774999944999,126180287999.14966
-8.020664999945028,125371439999.15512
-8.016554999945056,123753743999.16602
-8.012444999945084,122540471999.1742
-8.008334999945113,121731623999.17964
-8.00422499994514,120518351999.18782
-8.000114999945168,119305079999.196
-7.996004999945197,3580770095975.869
-7.991894999945225,1562289911989.4717
-7.987784999945253,1224595871991.7473
-7.983674999945281,1049075855992.9302
-7.9795649999453095,937050407993.6852
-7.975454999945337,857378879994.222
-7.971344999945366,795502007994.639
-7.9672349999453935,748993247994.9525
-7.963124999945422,708146423995.2278
-7.959014999945451,675388079995.4485
-7.954904999945478,647482823995.6366
-7.950794999945506,622408535995.8055
-7.946684999945535,600569639995.9528
-7.942574999945563,581157287996.0835
-7.938464999945591,563767055996.2007
-7.9343549999456195,547994519996.307
-7.930244999945647,533839679996.4024
-7.926134999945676,520898111996.4896
-7.9220249999457035,508765391996.5714
-7.917914999945732,497845943996.64496
-7.91380499994576,487330919996.7158
-7.909694999945788,476815895996.7867
-7.905584999945816,469131839996.8385
-7.901474999945845,459425663996.90393
-7.897364999945872,452550455996.95026
-7.893254999945901,444461975997.00476
-7.889144999945929,437586767997.0511
-7.885034999945957,430307135997.10016
-7.880924999945986,424240775997.141
-7.8768149999460135,418174415997.1819
-7.872704999946042,412512479997.22003
-7.86859499994607,406041695997.2637
-7.864484999946098,401997455997.2909
-7.860374999946126,396335519997.3291
-7.856264999946155,391078007997.3645
-7.852154999946182,386629343997.3945
-7.848044999946211,382585103997.42175
-7.843934999946239,378136439997.4517
-7.839824999946267,373687775997.4817
-7.835714999946295,369239111997.51166
-7.8316049999463235,366408143997.53076
-7.827494999946351,361959479997.5607
-7.82338499994638,358724087997.5825
-7.819274999946408,355084271997.60706
-7.815164999946436,351848879997.62885
-7.811054999946465,347804639997.6561
-7.806944999946492,344973671997.67523
-7.802834999946521,342142703997.6943
-7.798724999946549,339716159997.71063
-7.794614999946577,335671919997.7379
-7.790504999946605,333649799997.7515
-7.7863949999466335,330009983997.77606
-7.782284999946661,327987863997.7897
-7.77817499994669,325561319997.806
-7.7740649999467175,322325927997.8278
-7.769954999946746,320303807997.84143
-7.765844999946774,317877263997.8578
-7.761734999946802,315855143997.87146
-7.757624999946831,312619751997.89325
-7.753514999946859,311002055997.9041
-7.749404999946887,308979935997.9178
-7.745294999946915,306553391997.93414
-7.7411849999469435,304126847997.9505
-7.737074999946971,303317999997.95593
-7.732964999947,300082607997.9777
-7.7288549999470275,298464911997.98865
-7.724744999947056,296847215997.9995
-7.720634999947084,294420671998.01587
-7.716524999947112,292802975998.0268
-7.71241499994714,290376431998.04315
-7.708304999947169,289972007998.04584
-7.704194999947196,287545463998.0622
-7.700084999947225,285927767998.0731
-7.6959749999472535,283501223998.0895
-7.691864999947281,283096799998.0922
-7.687754999947309,280670255998.1085
-7.6836449999473375,279052559998.11945
-7.679534999947366,277839287998.1276
-7.675424999947394,276626015998.1358
-7.671314999947422,274199471998.15216
-7.66720499994745,273795047998.15488
-7.663094999947479,272177351998.16577
-7.658984999947506,269750807998.18213
-7.654874999947535,268941959998.1876
-7.650764999947563,268133111998.19302
-7.646654999947591,266110991998.20667
-7.642544999947619,264897719998.21484
-7.6384349999476475,264088871998.22028
-7.634324999947676,262875599998.22845
-7.630214999947704,260853479998.2421
