E,DOS
-6.991404143,0
-6.724928641,0
-6.570200592,0.004056733
-6.398280829,0.105476611
-6.277936863,0.259634949
-6.183381125,0.36511156
-6.011461361,0.503042656
-5.959885563,0.588235292
-5.882521539,0.742393475
-5.822349884,0.864097329
-5.727794145,0.920892522
-5.633237751,0.87221095
-5.547277869,0.770791072
-5.495702072,0.616632889
-5.401146333,0.434077108
-5.340974678,0.316429988
-5.220630713,0.202839756
-5.022922723,0.125760587
-4.902578757,0.105476611
-4.765043078,0.170385426
-4.679083196,0.348884318
-4.618911541,0.523326632
-4.541547517,0.7221095
-4.455587635,0.929006144
-4.37822361,0.993914803
-4.300859586,0.941176498
-4.206303847,0.730223121
-4.154728049,0.563894583
-4.085959882,0.44219073
-3.982808286,0.369168294
-3.87965669,0.381338803
-3.793696809,0.543610607
-3.716332784,0.778904693
-3.630372902,0.900608547
-3.535817164,0.880324571
-3.475644853,0.770791072
-3.355300888,0.563894583
-3.217765208,0.498985768
-3.080229529,0.413793133
-3.002865504,0.373225182
-2.848138111,0.425963487
-2.727794145,0.515213011
-2.504298584,0.486815414
-2.383954619,0.65720084
-2.280802367,0.697768791
-2.117479117,0.572008049
-1.962751068,0.44219073
-1.790831304,0.292089279
-1.610315684,0.223123731
-1.438395921,0.186612513
-1.309456099,0.133874208
-1.19770799,0.223123731
-1.146131536,0.336713964
-1.017191714,0.916835634
-0.982808286,1.034482755
-0.922636631,1.164300229
-0.845271951,1.131845899
-0.724928641,0.860040596
-0.630372247,0.758620718
-0.415472543,0.65720084
-0.295129233,0.584178559
-0.209169351,0.486815414
-0.157592898,0.361054827
-0.088826042,0.235294086
-0.011461361,0.137931096
0.126073662,0.036511218
0.263609998,0
