E,DOS
-6.991404143,0
-6.724928641,0
-6.570200592,0.004056733
-6.406876686,0.085192636
-6.226361065,0.243407707
-6.054441302,0.361054827
-5.951289706,0.498985768
-5.873925682,0.608519267
-5.796561657,0.701825524
-5.684814205,0.746450363
-5.59025781,0.738336742
-5.512894441,0.661257573
-5.444126274,0.494929035
-5.375358106,0.381338803
-5.289398224,0.251521328
-5.151862545,0.174442159
-4.936962841,0.146044562
-4.825215388,0.178499047
-4.696275566,0.340770852
-4.636103255,0.511156123
-4.584527457,0.645030485
-4.541547517,0.758620718
-4.438395921,0.880324571
-4.33524367,0.831642999
-4.257879645,0.742393475
-4.163323906,0.612576001
-4.068768168,0.551724074
-3.948424202,0.446247463
-3.87965669,0.381338803
-3.759312725,0.515213011
-3.690544557,0.636916864
-3.630372902,0.705882412
-3.570200592,0.726166388
-3.492837223,0.669371194
-3.406877341,0.559837695
-3.355300888,0.498985768
-3.260745149,0.44219073
-3.106017756,0.490872147
-3.045845445,0.503042656
-2.830945741,0.511156123
-2.667621835,0.446247463
-2.504298584,0.490872147
-2.306590594,0.539553719
-2.143266688,0.498985768
-1.997135152,0.47464506
-1.808023018,0.36511156
-1.644699112,0.304259634
-1.507164089,0.243407707
-1.343839527,0.154158183
-1.232091418,0.219066998
-1.189111477,0.336713964
-1.051576454,0.900608547
-1.017191714,1.034482755
-0.965616572,1.160243419
-0.83667675,1.131845899
-0.767908582,0.981744449
-0.647565272,0.860040596
-0.544412365,0.811359023
-0.415472543,0.819472644
-0.226361065,0.697768791
-0.12320947,0.685598437
-0.011461361,0.559837695
0.040113781,0.405679512
0.108881948,0.18255578
0.246418284,0.004056733
-0.922636631,1.212981724
