E,DOS
-6.690544557,0
-6.561604735,0.010121457
-6.458453139,0.062753157
-6.338109174,0.143724814
-6.295129233,0.212550599
-6.243553435,0.26720656
-6.166189411,0.327935302
-6.020057218,0.384615369
-5.934097337,0.489878615
-5.848137455,0.647773253
-5.770774086,0.702429214
-5.659025978,0.60931184
-5.59025781,0.514170051
-5.478510358,0.402834023
-5.340974678,0.315789584
-5.220630713,0.273279341
-5.126074974,0.212550599
-5.03151858,0.161943313
-4.902578757,0.143724814
-4.765043078,0.178137706
-4.661891482,0.319838105
-4.524355803,0.576923054
-4.481375862,0.680162039
-4.429799408,0.746963563
-4.361031896,0.807692306
-4.266476158,0.72874491
-4.223496217,0.601214643
-4.189112133,0.532388704
-4.137536335,0.396761241
-4.068768168,0.313765169
-3.939828345,0.253036427
-3.81948438,0.360323934
-3.81948438,0.360323934
-3.750716868,0.481781419
-3.673352843,0.623481818
-3.630372902,0.647773253
-3.561604735,0.603238904
-3.50143308,0.526315768
-3.441260769,0.423076937
-3.346705031,0.329959563
-3.277937519,0.263157884
-3.174785268,0.192307685
-3.063037815,0.19635636
-2.942693849,0.240890709
-2.779369943,0.291497995
-2.650430121,0.307692388
-2.538682012,0.344129541
-2.435530417,0.41295548
-2.375358762,0.500000072
-2.332378821,0.576923054
-2.297994737,0.643724732
-2.22922657,0.722672128
-2.134670831,0.793522328
-1.988539295,0.692307757
-1.851002959,0.564777336
-1.653295625,0.471659962
-1.498567576,0.491902876
-1.412607694,0.435222654
-1.352436039,0.313765169
-1.300859586,0.210526338
-1.249284444,0.149797596
-1.171919763,0.085020332
-1.051576454,0.133603357
-0.905444917,0.176113446
-0.785100296,0.137651878
-0.604585331,0.117408964
-0.449857282,0.111336028
-0.234957578,0.087044593
-0.071633016,0.058704482
0.203438343,0.002024415
