E,DOS
-6.690544557,0
-6.561604735,0.010121457
-6.458453139,0.062753157
-6.338109174,0.143724814
-6.252149292,0.220647795
-6.174785268,0.259109363
-6.071633672,0.297570931
-5.908309766,0.44129559
-5.830945741,0.548583097
-5.744985859,0.599190383
-5.633237751,0.627530339
-5.564470239,0.601214643
-5.495702072,0.534412965
-5.401146333,0.402834023
-5.297994737,0.281376538
-5.212034856,0.220647795
-5.065902663,0.182186227
-4.8939829,0.157894792
-4.799427161,0.184210642
-4.696275566,0.323886627
-4.558739231,0.58502025
-4.464183492,0.68421056
-4.37822361,0.690283496
-4.309456099,0.623481818
-4.249283788,0.514170051
-4.120343965,0.348178216
-3.939828345,0.253036427
-3.81948438,0.360323934
-3.6819487,0.623481818
-3.638968759,0.647773253
-3.50143308,0.526315768
-3.381089115,0.372469651
-3.346705031,0.329959563
-3.243553435,0.287449474
-2.942693849,0.253036427
-2.736390002,0.301619452
-2.60745018,0.297570931
-2.504298584,0.336032499
-2.42693456,0.41497974
-2.375358762,0.500000072
-2.323782308,0.587044511
-2.297994737,0.643724732
-2.212034856,0.718623453
-2.108882604,0.680162039
-2.014326866,0.601214643
-1.851002959,0.500000072
-1.687679709,0.437247069
-1.541547517,0.41497974
-1.446991122,0.394736826
-1.369627753,0.289473734
-1.266476158,0.157894792
-1.223496217,0.119433224
-1.163324562,0.09716605
-1.051576454,0.135627618
-0.922636631,0.198380621
-0.750716868,0.161943313
-0.613180533,0.143724814
-0.449857282,0.115384703
-0.346705687,0.105263246
-0.071633016,0.046558764
0.203438343,0.002024415
