E,DOS
-1.994269414,249.5666701
-1.97277936,424.2633987
-1.886819551,225.9966025
-1.779369687,206.5858108
-1.706303747,230.1560107
-1.654727861,206.5858108
-1.422636172,183.0156771
-1.297994141,156.6725165
-1.246418461,127.556395
-1.190544278,59.61875632
-1.108882561,0
0.575931335,0
0.618911035,33.27559568
0.808023025,55.45921595
0.881088965,318.8907562
0.945558719,396.5337907
0.984240736,471.4038645
1.040114714,870.7105665
1.113180654,454.7660336
1.134670709,428.422873
1.151862671,327.2097708
1.16475654,260.6586455
1.190544278,163.6048854
1.23782248,202.4264027
1.28080218,271.7504887
1.353868939,470.017351
1.448424115,643.3275662
1.504298503,481.1091942
1.542980109,453.3795863
1.581662126,356.3258261
1.628939919,375.7365517
1.680515804,287.0017401
1.753581744,245.4073281
1.800859537,220.4506809
1.830945777,189.948046
1.865329701,259.2721321
1.912607903,242.6343012
1.929799455,284.2287132
1.968481472,336.9151005
1.998568122,303.639571
