E,DOS
-2.002865395,246.7937754
-1.964183379,327.2097708
-1.916905586,260.6586455
-1.882521663,234.3154849
-1.856733515,217.677654
-1.81375361,214.9046271
-1.775071799,202.4264027
-1.71919782,207.9722582
-1.650429973,202.4264027
-1.603151976,198.2669284
-1.555873773,189.948046
-1.517191962,184.4021244
-1.474212057,177.4696894
-1.405444005,167.7643597
-1.323782289,158.0589638
-1.255014032,127.556395
-1.233524182,94.28079935
-1.18624639,103.9861291
-1.16475654,87.34843041
-1.130372616,106.759156
-1.0916906,49.91342658
-1.035816621,12.47842276
-0.967048774,62.391651
-0.915472889,26.34322675
-0.863897003,48.52684702
-0.825214577,22.18375249
-0.777937194,18.02434435
-0.717764713,1.386513455
0.18911158,2.77302691
0.249283651,52.68638738
0.283667575,101.2132344
0.318051498,49.91342658
0.352435422,30.50263489
0.391117439,11.0919093
0.438395231,2.77302691
0.481375341,11.0919093
0.541547412,2.77302691
0.627507221,13.86480399
0.67048733,30.50263489
0.820916894,55.45921595
0.872492779,196.8804811
0.889684741,277.2963442
0.936962943,349.3934572
0.979942643,417.3310298
0.997134605,465.8578768
1.044412807,604.5060489
1.095989102,461.6984687
1.117479157,418.7175432
1.143266485,324.4367439
1.160458857,295.3206886
1.181948911,270.3639092
1.23782248,275.9098969
1.276504496,292.5477278
1.323782289,384.0555002
1.375358584,439.5147823
1.414040191,514.3847238
1.452722207,529.6360743
1.474212262,497.746959
1.504298503,439.5147823
1.538682017,397.9203042
1.555873978,354.9393788
1.594555995,343.8475356
1.633238421,317.5043749
1.663323842,287.0017401
1.702005859,266.2045671
1.753581744,245.4073281
1.787965668,224.6100891
1.826648094,199.6534419
1.873925477,228.7694311
1.904011717,249.5666701
1.959885286,257.8856847
1.994269619,264.8180537
